toolCode,sectionTitle,indicatorCode,prompt,type,options,stages,isQualitative
HDMA,Activities of Daily Living,HDMA-0036,Can the learner stand independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0037,Can the learner walk without support?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0038,Can the learner climb stairs safely?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0039,Can the learner jump with both feet?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0040,Can the learner balance briefly on one foot?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0041,Can the learner grasp and hold objects appropriately?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0042,Can the learner stack blocks?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0043,Can the learner pick up small objects using fingers?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0044,Can the learner hold a crayon or pencil correctly?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0045,Can the learner turn pages of a book independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Activities of Daily Living,HDMA-0046,Can the learner string beads or similar objects?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Eating,HDMA-0047,Can the learner swallow food safely?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Eating,HDMA-0048,Can the learner drink from a cup without spilling?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Eating,HDMA-0049,Can the learner use a spoon independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Eating,HDMA-0050,Can the learner eat independently without assistance?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Toileting,HDMA-0051,Can the learner indicate the need to use the toilet?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Toileting,HDMA-0052,Can the learner use the toilet independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Toileting,HDMA-0053,Can the learner flush the toilet after use?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Toileting,HDMA-0054,Can the learner wash hands after toileting?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Dressing,HDMA-0055,Can the learner participate in dressing and undressing?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Dressing,HDMA-0056,Can the learner remove shoes independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Dressing,HDMA-0057,Can the learner pull up pants or shorts independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Dressing,HDMA-0058,Can the learner cooperate during grooming activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Dressing,HDMA-0059,Can the learner brush teeth with assistance or independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Dressing,HDMA-0060,Can the learner wash and wipe the face?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0061,Does the learner follow people with his/her eyes?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0062,Can the learner imitate gestures such as clapping or waving?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0063,Can the learner identify familiar and unfamiliar people?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0064,Does the learner demonstrate awareness of body parts?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0065,Does the learner show confidence in familiar situations?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0066,Does the learner express positive feelings about self?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0067,Does the learner explore new ideas or activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0068,Does the learner share creative ideas or imaginative play?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Personality Development,HDMA-0069,Does the learner greet familiar people appropriately?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Sex Education,HDMA-0070,Can the learner identify basic body parts?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Sex Education,HDMA-0071,Does the learner know which body parts are private?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Sex Education,HDMA-0072,Can the learner differentiate between good touch and bad touch?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Sex Education,HDMA-0073,Does the learner understand personal privacy?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Sex Education,HDMA-0074,Can the learner identify trusted adults?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Sex Education,HDMA-0075,"Can the learner say ""No"" or seek help when uncomfortable?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Self-Advocacy,HDMA-0076,"Can the learner express emotions using words, pictures, or gestures?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Self-Advocacy,HDMA-0077,Can the learner communicate likes and dislikes?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Self-Advocacy,HDMA-0078,Can the learner request help when needed?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Self-Advocacy,HDMA-0079,Can the learner make simple choices independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Self-Advocacy,HDMA-0080,Can the learner indicate pain or discomfort?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Self-Advocacy,HDMA-0081,"Does the learner participate in activities related to self-identity (""Who am I?"")?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0082,Does the learner understand the dangers of stairs and electrical switches?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0083,Can the learner identify hot objects as unsafe?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0084,Can the learner avoid touching dangerous objects?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0085,Does the learner follow classroom safety rules?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0086,Can the learner use toys safely?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0087,Does the learner stay close to a caregiver in public?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0088,Can the learner hold hands or walk safely with an adult?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0089,Does the learner respond when called in public?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0090,Does the learner play safely without entering dangerous areas?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0091,Does the learner recognize healthy food choices?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0092,Does the learner participate in healthy habits?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0093,Can the learner travel safely with supervision?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Safety,HDMA-0094,Does the learner respond appropriately to simple emergency instructions?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Financial Literacy,HDMA-0095,Can the learner recognize coins?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Financial Literacy,HDMA-0096,Can the learner recognize currency notes?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Financial Literacy,HDMA-0097,Does the learner understand that money is used to buy things?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Financial Literacy,HDMA-0098,Can the learner participate in pretend shopping activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Financial Literacy,HDMA-0099,Can the learner count or save money using a piggy bank?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0100,Does the learner listen when others are speaking?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0101,Can the learner speak clearly enough to communicate needs?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0102,Does the learner play cooperatively with peers?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0103,Does the learner share toys or materials?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0104,Can the learner remain calm during routine changes?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0105,Can the learner wait patiently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0106,Does the learner attempt to solve simple problems through observation?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0107,Can the learner follow instructions independently?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0108,Does the learner take initiative during simple activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0109,Does the learner demonstrate honesty?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0110,Does the learner take care of personal belongings?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0111,Does the learner attend activities or classes regularly?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Soft Skills,HDMA-0112,Does the learner follow a daily routine?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Physical Fitness,HDMA-0113,Can the learner perform basic stretching exercises?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Physical Fitness,HDMA-0114,Can the learner follow physical instructions in a group?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Physical Fitness,HDMA-0115,Does the learner participate in team games?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Physical Fitness,HDMA-0116,Can the learner throw a ball?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Physical Fitness,HDMA-0117,Can the learner catch a large ball?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Physical Fitness,HDMA-0118,Can the learner walk in a straight line?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Physical Fitness,HDMA-0119,Does the learner enjoy movement-based activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0120,"Does the learner show interest in pretend occupations (e.g., chef, doctor, teacher)?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0121,Does the learner enjoy helping adults with simple household tasks?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0122,Does the learner enjoy sorting or arranging objects?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0123,Does the learner participate in simple cleaning activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0124,Does the learner enjoy art and craft activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0125,Does the learner enjoy building or assembling objects?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0126,Does the learner enjoy gardening or watering plants?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0127,Does the learner participate in pretend cooking activities?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0128,Can the learner stay engaged in a simple task for a few minutes?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Vocational Exposure,HDMA-0129,Does the learner show curiosity about how everyday work is done?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0130,Can the learner put away toys after playing?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0131,Can the learner carry simple items from one place to another?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0132,Can the learner place used clothes in a laundry basket?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0133,Can the learner assist in simple household chores with support?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0134,Can the learner recognize familiar places such as home or school?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0135,Can the learner identify family members in the community?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0136,Can the learner stay close to a caregiver in public places?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0137,Can the learner follow simple community rules?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0138,Does the learner participate in family gatherings?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0139,Does the learner enjoy playing with other children?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0140,Can the learner greet familiar neighbours or relatives?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0141,Can the learner take care of personal belongings with reminders?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Independent Living & Community Participation,HDMA-0142,Does the learner return objects to their proper place?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,EARLY_CHILDHOOD,false
HDMA,Communication Skills,HDMA-0143,"Does the learner respond appropriately to non-verbal cues such as smiling, frowning, or crying?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,PRE_SKILL,false
HDMA,Communication Skills,HDMA-0144,"Can the learner follow instructions involving prepositions (e.g., under, behind, beside)?",SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,PRE_SKILL,false
HDMA,Communication Skills,HDMA-0145,Can the learner identify major body parts?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,PRE_SKILL,false
HDMA,Communication Skills,HDMA-0146,Can the learner identify common objects or pictures?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,PRE_SKILL,false
HDMA,Communication Skills,HDMA-0147,Can the learner state his/her home address?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,PRE_SKILL,false
HDMA,Communication Skills,HDMA-0148,Can the learner share basic information about parents or caregivers?,SCALE,3 — Independent|2 — With Prompt|1 — Needs Support|0 — Not Applicable,PRE_SKILL,false
